;X;sh;phylum;class;order;family;genus;species
220;71895;AF192506.1.1780;Mucoromycotina;Mucorales;Mucorales;Rhizomucor;Rhizomucor;Rhizomucor miehei
221;72172;AF277015.1.1816;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium simulii
222;72193;AF277024.1.1914;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium annulatum
223;72666;AJ852605.1.1745;Glomeromycotina;Diversisporales;Diversisporales;Gigaspora;Gigaspora;Gigaspora margarita
224;72883;AJ699061.1.1793;Glomeromycotina;Glomerales;Glomerales;Glomus;Glomus;Glomus mycorrhizal symbiont of Marchantia foliacea
225;72904;AJ276090.1.1759;Glomeromycotina;Diversisporales;Diversisporales;Gigaspora;Gigaspora;Gigaspora sp. W2992
226;73228;AJ871270.1.1787;Glomeromycotina;Diversisporales;Diversisporales;Dentiscutata;Dentiscutata;Dentiscutata reticulata
227;73241;AJ852600.1.1772;Glomeromycotina;Diversisporales;Diversisporales;Gigaspora;Gigaspora;Gigaspora albida
228;73260;AJ852608.1.1731;Glomeromycotina;Diversisporales;Diversisporales;Gigaspora;Gigaspora;Gigaspora rosea
229;73575;AJ430853.1.1680;Glomeromycotina;Glomerales;Glomerales;Glomus;Glomus;Glomus arbuscular mycorrhizal symbiont of Voyria corymbosa
230;73830;AJ888458.1.1803;Ascomycota;Dothideomycetes;;;Sarcinomyces;Sarcinomyces sp. MA4760
231;74189;AJ699070.1.1793;Glomeromycotina;Glomerales;Glomerales;Glomus;Glomus;Glomus mycorrhizal symbiont of Marchantia foliacea
232;74359;AJ619952.1.1767;Glomeromycotina;Diversisporales;Diversisporales;Pacispora scintillans;Pacispora;Pacispora scintillans
233;75141;AF277026.1.1855;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium dipterorum
234;75312;AJ430852.1.1685;Glomeromycotina;Glomerales;Glomerales;Glomus;Glomus;Glomus arbuscular mycorrhizal symbiont of Voyriella parviflora
235;75438;AJ852597.1.1778;Glomeromycotina;Glomerales;Glomerales;Rhizophagus;Rhizophagus;Rhizophagus clarus
236;76167;AM114274.1.1764;Glomeromycotina;Archaeosporales;Archaeosporales;Archaeospora;Archaeospora;Archaeospora trappei
237;77156;AF368520.1.1849;Entomophthoromycotina;Entomophthorales;Entomophthorales;Pandora;Pandora;Pandora blunckii
238;78754;AJ699069.1.1793;Glomeromycotina;Glomerales;Glomerales;Glomus;Glomus;Glomus mycorrhizal symbiont of Marchantia foliacea
239;79355;AJ852529.1.1741;Glomeromycotina;Glomerales;Glomerales;Rhizophagus;Glomus;Glomus sp. MUCL 43205
240;79890;AM268192.1.1763;Glomeromycotina;Archaeosporales;Archaeosporales;Ambispora;Ambispora;Ambispora fennica
241;80358;AM295493.1.1762;Glomeromycotina;Paraglomerales;Paraglomerales;Paraglomus;Paraglomus;Paraglomus laccatum
242;82767;AM183923.1.1769;Glomeromycotina;Archaeosporales;Archaeosporales;Geosiphon;Geosiphon;Geosiphon pyriformis
243;83310;AF503564.1.1372;Ascomycota;Dothideomycetes;Mytilinidiales;fungal endophyte MUT 769;fungal;fungal endophyte MUT 769
244;83687;AM268194.1.1767;Glomeromycotina;Archaeosporales;Archaeosporales;Ambispora;Ambispora;Ambispora fennica
245;85091;AM418543.1.1677;Glomeromycotina;Diversisporales;Diversisporales;Redeckera;Redeckera;Redeckera fulvum
246;86108;AF503566.1.1642;Ascomycota;Dothideomycetes;;;fungal;fungal endophyte MUT 771
247;87903;AM713431.1.1801;Glomeromycotina;Diversisporales;Diversisporales;Diversispora;Diversispora;Diversispora eburnea
248;88278;AJ133706.1.1672;Glomeromycotina;Glomerales;Glomerales;Sclerocystis;Sclerocystis;Sclerocystis sinuosa
249;88283;AY032608.1.1766;Incertae Sedis;Chytridiales;Chytridiales;Chytridium;Chytridium;Chytridium polysiphoniae
250;90016;AY129549.1.1607;Mortierellomycotina;Mortierellales;Mortierellales;Mortierella;Mortierella;Mortierella parvispora
251;90032;AJ306443.1.1760;Glomeromycotina;Diversisporales;Diversisporales;Scutellospora;Scutellospora;Scutellospora calospora
252;91316;AB534351.1.1609;Incertae Sedis;Blastocladiales;Physodermatales;uncultured fungus;uncultured;uncultured fungus
253;91417;AY123292.1.1757;Basidiomycota;Pucciniomycetes;Platygloeales;Insolibasidium;Insolibasidium;Insolibasidium deformans
254;92522;AJ852526.1.1819;Glomeromycotina;Glomerales;Glomerales;Rhizophagus;Rhizophagus;Rhizophagus intraradices
255;92535;AJ852598.1.1796;Glomeromycotina;Glomerales;Glomerales;Claroideoglomus;Claroideoglomus;Claroideoglomus etunicatum
256;93546;AY054697.1.1785;Mucoromycotina;Mucorales;Mucorales;Amylomyces;Amylomyces;Amylomyces rouxii
257;93562;AY054699.1.1777;Mucoromycotina;Mucorales;Mucorales;Mucor;Mucor;Mucor indicus
258;93731;AB534502.1.1642;Incertae Sedis;Cladochytriales;Chytridiales;Nowakowskiella;uncultured;uncultured fungus
259;93748;AB534508.1.1608;Mortierellomycotina;Mortierellales;Mortierellales;Mortierella;uncultured;uncultured fungus
260;94889;HW643968.1.1809;Entomophthoromycotina;Entomophthorales;Entomophthorales;Conidiobolus;unidentified;
261;94984;AJ852527.1.1716;Glomeromycotina;Glomerales;Glomerales;Rhizophagus;Rhizophagus;Rhizophagus sp. MUCL 43203
262;95023;AJ852599.1.1762;Glomeromycotina;Diversisporales;Diversisporales;Gigaspora;Gigaspora;Gigaspora albida
263;95071;AB546146.1.1722;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
264;95351;AB534485.1.1613;Incertae Sedis;Spizellomycetales;Olpidiales;Olpidium;uncultured;uncultured fungus
265;96629;AY204604.1.1761;Ascomycota;Sordariomycetes;Hypocreales;;Neonectria;Neonectria lugdunensis
266;97068;AB555669.1.1723;Glomeromycotina;Glomerales;Glomerales;Rhizophagus;uncultured;uncultured Glomus
267;97100;AB556916.1.1723;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
268;97647;AY293155.1.1786;Basidiomycota;Agaricomycetes;Cantharellales;;Repetobasidium;Repetobasidium mirificum
269;97895;AB556923.1.1715;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
270;98149;AB555677.1.1721;Glomeromycotina;Glomerales;Glomerales;Rhizophagus;uncultured;uncultured Glomus
271;98159;AB555682.1.1718;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
272;98176;AB556919.1.1717;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
273;98740;AY336767.1.1773;Basidiomycota;Agaricomycetes;Polyporales;;Diplomitoporus;Diplomitoporus overholtsii
274;98988;AB555663.1.1716;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
275;99307;AB555658.1.1716;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
276;100604;AB555674.1.1718;Glomeromycotina;Glomerales;Glomerales;Rhizophagus;uncultured;uncultured Glomus
277;100638;AB556931.1.1721;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
278;101328;AY502933.1.1879;Ascomycota;Sordariomycetes;Chaetosphaeriales;;Chaetosphaeria;Chaetosphaeria curvispora
279;101888;AB556930.1.1719;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
280;102043;AB556928.1.1720;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
281;102271;AY541482.1.1731;Ascomycota;Dothideomycetes;Minutisphaerales;;Acrogenospora;Acrogenospora carmichaeliana
282;102394;AY546685.1.1902;Kickxellomycotina;Kickxellales;Kickxellales;Coemansia;Coemansia;Coemansia reversa
283;103322;AB555671.1.1718;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
284;104513;KJ563218.1.1771;Incertae Sedis;Blastocladiales;Physodermatales;Paraphysoderma;Paraphysoderma;Paraphysoderma sedebokerense
285;104780;AY635840.1.1849;Incertae Sedis;Blastocladiales;Blastocladiales;Microallomyces;Microallomyces;Microallomyces dendroideus
286;104940;AY635825.1.1786;Incertae Sedis;Chytridiales;Chytridiales;Chytridiales sp. JEL187;Chytridiales;Chytridiales sp. JEL187
287;104990;AY635827.1.1772;Incertae Sedis;Chytridiales;Chytridiales;Dendrochytridium;Dendrochytridium;Dendrochytridium crassum
288;105510;AY635837.1.1810;Mucoromycotina;Mucorales;Mucorales;Phycomyces;Phycomyces;Phycomyces blakesleeanus
289;105524;AY635844.1.1742;Incertae Sedis;Cladochytriales;Chytridiales;Nowakowskiella;Endochytrium;Endochytrium sp. JEL 324
290;105735;AY665774.1.1779;Basidiomycota;Agaricomycetes;Atheliales;;Athelia;Athelia rolfsii
291;106974;AY635823.1.1745;Incertae Sedis;Rhizophydiales;Rhizophydiales;Rhizophydium;Rhizophydium;Rhizophydium sphaerotheca
292;107359;AY601708.1.1698;Incertae Sedis;Blastocladiales;Physodermatales;Physoderma;Physoderma;Physoderma maydis
293;107407;AY635826.1.1783;Incertae Sedis;Chytridiales;Chytridiales;Entophlyctis;Entophlyctis;Entophlyctis helioformis
294;107420;AY635833.1.1792;Glomeromycotina;Glomerales;Glomerales;Funneliformis;Funneliformis;Funneliformis mosseae
295;107716;AY635831.1.1774;Glomeromycotina;Glomerales;Glomerales;Rhizophagus;Rhizophagus;Rhizophagus intraradices
296;108159;AY635822.1.1855;Incertae Sedis;Blastocladiales;Blastocladiales;Catenophlyctis variabilis;Catenophlyctis;Catenophlyctis variabilis
297;108186;AY743664.1.1817;Mucoromycotina;Mucorales;Mucorales;Ambomucor;Ambomucor;Ambomucor seriatoinflatus
298;108279;AY657008.1.1772;Basidiomycota;Agaricomycetes;Agaricales;;Clavaria;Clavaria zollingeri
299;108557;AY635843.1.1814;Mucoromycotina;Mucorales;Mucorales;Cokeromyces;Cokeromyces;Cokeromyces recurvatus
300;109210;AY635828.1.1771;Mortierellomycotina;Mortierellales;Mortierellales;Mortierella;Mortierella;Mortierella sp. MS-6
301;109227;AY635835.1.1805;Incertae Sedis;Cladochytriales;Chytridiales;Nowakowskiella;Nowakowskiella;Nowakowskiella elegans
302;109436;AB594848.1.1263;Glomeromycotina;Glomerales;Glomerales;Sclerocystis;uncultured;uncultured fungus
303;109956;AB594918.1.1215;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
304;110316;AB594907.1.1332;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
305;111011;AB594901.1.1579;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
306;111357;AB594850.1.1514;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
307;111362;AB594874.1.1361;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
308;111472;AB594884.1.1285;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
309;111534;AY635834.1.1869;Zoopagomycotina;Zoopagales;;Rhopalomyces elegans;Rhopalomyces;Rhopalomyces elegans
310;112062;AY705958.1.1747;Basidiomycota;Agaricomycetes;Hymenochaetales;;Cotylidia;Cotylidia sp. MB5
311;112080;AY705966.1.1798;Basidiomycota;Agaricomycetes;Polyporales;;Laetiporus;Laetiporus sulphureus
312;112324;AB594868.1.1865;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
313;112410;AB594849.1.1643;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
314;112640;AB594900.1.1638;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
315;112859;AB594921.1.1589;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
316;112919;AB594864.1.1355;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
317;112966;AB594916.1.1226;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
318;116643;AB594888.1.1442;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
319;116723;AY293143.1.1737;Basidiomycota;Agaricomycetes;Polyporales;Parmastomyces transmutans;Parmastomyces;Parmastomyces transmutans
320;118061;AB555670.1.1718;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
321;118076;AB555680.1.1718;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
322;118091;AB556917.1.1722;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured Glomus
323;121117;KJ668047.1.1698;Incertae Sedis;Monoblepharidales;Monoblepharidales;Harpochytrium;Harpochytrium;Harpochytrium sp. JEL94
324;121720;AY635824.1.1778;Incertae Sedis;Rhizophydiales;Rhizophydiales;Rhizophydium;Entophlyctis;Entophlyctis sp. JEL174
325;123443;KJ668053.1.1738;Incertae Sedis;Monoblepharidales;Monoblepharidales;Gonapodya;Gonapodya;Gonapodya polymorpha
326;123668;KJ668066.1.1785;Incertae Sedis;Monoblepharidales;Monoblepharidales;Monoblepharella;Monoblepharis;Monoblepharis macrandra
327;124610;KJ708358.1.1574;Basidiomycota;Cystobasidiomycetes;;;Microsporomyces;Microsporomyces orientalis
328;124928;KJ668052.1.1736;Incertae Sedis;Monoblepharidales;Monoblepharidales;Gonapodya;Gonapodya;Gonapodya polymorpha
329;125150;KJ668058.1.1785;Incertae Sedis;Monoblepharidales;Monoblepharidales;Monoblepharella;Monoblepharella;Monoblepharella sp. JEL485
330;125853;KJ668051.1.1773;Incertae Sedis;Monoblepharidales;Monoblepharidales;Harpochytrium;Harpochytrium;Harpochytrium sp. JEL290
331;126513;AB594869.1.1706;Glomeromycotina;Glomerales;Glomerales;Glomus;uncultured;uncultured fungus
332;126514;KJ766736.1.1621;Ascomycota;Lecanoromycetes;Lecanorales;;Lecanora;Lecanora conizaeoides
333;129289;KJ921771.1.1588;Mucoromycotina;Endogonales;Endogonales;uncultured;Mucoromycotina;Mucoromycotina sp. T2-e
334;129429;KJ921776.1.1625;Mucoromycotina;Endogonales;Endogonales;uncultured;Mucoromycotina;Mucoromycotina sp. H3-e
335;129484;KJ952238.1.1448;Glomeromycotina;Glomerales;Glomerales;Glomus;Glomeromycotina;Glomeromycotina sp. AI98b-4
336;129505;KJ890360.1.1504;Mortierellomycotina;Mortierellales;Mortierellales;Mortierella;Mortierellales;Mortierellales sp. AGED
337;129806;KJ921774.1.1589;Mucoromycotina;Endogonales;Endogonales;uncultured;Mucoromycotina;Mucoromycotina sp. H1-a
338;129835;KJ952237.1.1450;Glomeromycotina;Glomerales;Glomerales;Glomus;Glomeromycotina;Glomeromycotina sp. AI1-2
339;129864;KJ921773.1.1619;Mucoromycotina;Endogonales;Endogonales;uncultured;Mucoromycotina;Mucoromycotina sp. T3-e
340;129885;KJ952236.1.1450;Glomeromycotina;Glomerales;Glomerales;Rhizophagus;Glomeromycotina;Glomeromycotina sp. AI39-1
341;129945;KJ952241.1.1457;Glomeromycotina;Archaeosporales;Archaeosporales;Archaeospora;Glomeromycotina;Glomeromycotina sp. AI2-3
342;130167;KJ952215.1.1443;Mucoromycotina;Endogonales;Endogonales;uncultured;Mucoromycotina;Mucoromycotina sp. Th8b-3
343;130170;KJ952217.1.1445;Mucoromycotina;Endogonales;Endogonales;Endogone;Mucoromycotina;Mucoromycotina sp. JD92
344;130691;KJ668057.1.1777;Incertae Sedis;Monoblepharidales;Monoblepharidales;Gonapodya;Gonapodya;Gonapodya prolifera
345;130885;KJ952213.1.1443;Mucoromycotina;Endogonales;Endogonales;uncultured;Mucoromycotina;Mucoromycotina sp. Th6-4
346;130965;KJ668049.1.1734;Incertae Sedis;Monoblepharidales;Monoblepharidales;Gonapodya;Gonapodya;Gonapodya sp. JEL183
347;131185;KJ952212.1.1446;Mucoromycotina;Endogonales;Endogonales;Endogone;Mucoromycotina;Mucoromycotina sp. Th6-2
348;132234;KJ952218.1.1445;Mucoromycotina;Endogonales;Endogonales;Endogone;Mucoromycotina;Mucoromycotina sp. WR266-C
349;132400;KJ952222.1.1451;Glomeromycotina;Glomerales;Glomerales;Glomus;Glomeromycotina;Glomeromycotina sp. 8536
350;132573;KJ708351.1.1592;Basidiomycota;Cystobasidiomycetes;Sakaguchiales;;Sakaguchia;Sakaguchia dacryoidea
351;133334;KJ952214.1.1445;Mucoromycotina;Endogonales;Endogonales;uncultured;Mucoromycotina;Mucoromycotina sp. Th8a-4
352;133335;KJ952229.1.1452;Glomeromycotina;Glomerales;Glomerales;Funneliformis;Glomeromycotina;Glomeromycotina sp. WR856-B
353;134579;KM594019.1.1735;Mucoromycotina;Endogonales;Endogonales;Endogone;Endogone;Endogone sp. PERTH 7648049
354;136751;KM211581.1.1685;Mucoromycotina;Endogonales;Endogonales;Endogone;Mucoromycotina;Mucoromycotina sp. FT2
355;137319;KM527235.1.1765;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus
356;137540;KM359779.1.1652;Dikarya Incertae Sedis;Entorrhizales;Entorrhizales;Entorrhiza;Entorrhiza;Entorrhiza parvula
357;139174;KP115828.1.1619;Ascomycota;Eurotiomycetes;;;Eurotiomycetes;Eurotiomycetes sp. genotype 228
358;140095;KC215424.1.1419;Mucoromycotina;Endogonales;Endogonales;uncultured;uncultured;uncultured fungus
359;140352;KM096215.1.1499;Ascomycota;Sordariomycetes;;;Leotiomycetes;Leotiomycetes sp. LF826
360;140455;KM527239.1.1763;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus oryzae
361;141169;KM527229.1.1783;Mucoromycotina;Mucorales;Mucorales;Mucor;Mucor;Mucor indicus
362;141170;KM527238.1.1782;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. rhizopodiformis
363;141217;KM527234.1.1763;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. rhizopodiformis
364;142940;KJ952230.1.1451;Glomeromycotina;Glomerales;Glomerales;Rhizophagus;Glomeromycotina;Glomeromycotina sp. WR864-A
365;143637;KM065420.1.1599;Glomeromycotina;Glomerales;Glomerales;Glomus;Glomeromycotina;Glomeromycotina sp. 8957-F
366;144503;KM527233.1.1774;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. chinensis
367;147023;D29950.1.1830;Kickxellomycotina;Harpellales;Harpellales;Zancudomyces;Zancudomyces;Zancudomyces culisetae
368;147562;DQ211053.1.1763;Mucoromycotina;Mucorales;Mucorales;Pilobolus;Pilobolus;Pilobolus longipes
369;148504;DQ367455.1.1441;Kickxellomycotina;Harpellales;Harpellales;Orphella;Orphella;Orphella sp. NS-34-W16
370;148525;GENC01023620.369.2219;Entomophthoromycotina;Entomophthorales;Entomophthorales;Entomophthora;Entomophthora;Entomophthora muscae
371;148625;AB695513.1.1752;Incertae Sedis;Rhizophydiales;Rhizophydiales;Rhizophydium;uncultured;uncultured eukaryote
372;149823;GQ995410.1.1790;Incertae Sedis;Lobulomycetales;Lobulomycetales;uncultured;uncultured;uncultured Chytridiomycota
373;149824;GQ995436.1.1768;Incertae Sedis;Rhizophydiales;Rhizophydiales;uncultured Chytridiomycota;uncultured;uncultured Chytridiomycota
374;151276;DQ367453.1.1371;Kickxellomycotina;Harpellales;Harpellales;Genistellospora;Genistellospora;Genistellospora homothallica
375;153313;D29946.1.1743;Entomophthoromycotina;Basidiobolales;Basidiobolales;Basidiobolus;Basidiobolus;Basidiobolus ranarum
376;153369;D85647.1.1769;Basidiomycota;Agaricomycetes;;;[Rhizoctonia];[Rhizoctonia] zeae
377;153592;DQ873658.1.1776;Basidiomycota;Agaricomycetes;Hymenochaetales;;Tubulicrinis;Tubulicrinis inornatus
378;153642;AB695517.1.1752;Incertae Sedis;Lobulomycetales;Lobulomycetales;uncultured;uncultured;uncultured eukaryote
379;154273;GQ995372.1.1776;Incertae Sedis;Spizellomycetales;Spizellomycetales;Geranomyces;uncultured;uncultured Chytridiomycota
380;154275;GQ995422.1.1771;Incertae Sedis;Rhizophydiales;Rhizophydiales;uncultured Chytridiomycota;uncultured;uncultured Chytridiomycota
381;154973;DQ322626.1.1851;Kickxellomycotina;Harpellales;Harpellales;Orphella;Orphella;Orphella haysii
382;155243;EU428766.1.1725;Mucoromycotina;Mucorales;Mucorales;zygomycete sp. AM-2008a;zygomycete;zygomycete sp. AM-2008a
383;155411;DQ234562.1.2045;Basidiomycota;Exobasidiomycetes;Entylomatales;;Tilletiopsis;Tilletiopsis sp. CBS 111593
384;155747;KP121398.1.1384;Mucoromycotina;Mucorales;Mucorales;Amylomyces;Rhizopus;Rhizopus oryzae
385;155898;DQ367454.1.1394;Kickxellomycotina;Harpellales;Harpellales;Genistelloides;Genistellospora;Genistellospora homothallica
386;155899;DQ367465.1.1789;Kickxellomycotina;Harpellales;Harpellales;trichomycete sp. CA-9-W10;trichomycete;trichomycete sp. CA-9-W10
387;156130;DQ322624.1.1463;Incertae Sedis;Spizellomycetales;Olpidiales;Olpidium;Olpidium;Olpidium brassicae
388;157368;DQ367463.1.1779;Kickxellomycotina;Harpellales;Harpellales;Zygopolaris;Zygopolaris;Zygopolaris ephemeridarum
389;157467;DQ536475.1.1467;Incertae Sedis;Incertae Sedis;Chytridiales;Synchytrium;Synchytrium;Synchytrium decipiens
390;157468;DQ536487.1.1795;Incertae Sedis;Chytridiales;Chytridiales;Chytriomyces;Chytriomyces;Chytriomyces hyalinus
391;157721;HQ191296.1.2355;Incertae Sedis;Rhizophydiales;Rhizophydiales;uncultured Chytridiomycota;uncultured;uncultured Chytridiomycota
392;158553;DQ536472.1.1335;Incertae Sedis;Blastocladiales;Physodermatales;Physoderma;Physoderma;Physoderma dulichii
393;158556;DQ536485.1.1796;Incertae Sedis;Rhizophydiales;Rhizophydiales;Rhizophydium;Rhizophydium;Rhizophydium sp. JEL316
394;159746;HQ191313.1.2259;Incertae Sedis;Rhizophydiales;Rhizophydiales;Rhizophydium;uncultured;uncultured Chytridiomycota
395;160409;DQ363317.1.1577;Dikarya Incertae Sedis;Entorrhizales;Entorrhizales;Entorrhiza;Entorrhiza;Entorrhiza casparyana
396;160413;DQ367440.1.1435;Kickxellomycotina;Harpellales;Harpellales;Plecopteromyces;Plecopteromyces;Plecopteromyces patagoniensis
397;160414;DQ367456.1.1400;Kickxellomycotina;Harpellales;Harpellales;Genistelloides;Genistelloides;Genistelloides hibernus
398;160456;DQ002903.1.1744;Ascomycota;Leotiomycetes;Helotiales;;Pezicula;Pezicula radicicola
399;161022;GBYF01077849.3105.4886;Glomeromycotina;Diversisporales;Diversisporales;Gigaspora;Gigaspora;Gigaspora margarita
400;161037;DQ322627.1.1795;Mucoromycotina;Umbelopsidales;Umbelopsidales;Umbelopsis;Umbelopsis;Umbelopsis ramanniana
401;161581;EF443134.1.1652;Incertae Sedis;Lobulomycetales;Lobulomycetales;Lobulomyces;Lobulomyces;Lobulomyces poculatus
402;161934;GQ995378.1.1774;Incertae Sedis;Spizellomycetales;Spizellomycetales;Geranomyces;uncultured;uncultured Chytridiomycota
403;161939;GQ995426.1.1770;Incertae Sedis;Rhizophydiales;Rhizophydiales;uncultured Chytridiomycota;uncultured;uncultured Chytridiomycota
404;162016;DQ536476.1.1239;Incertae Sedis;Incertae Sedis;Chytridiales;Synchytrium;Synchytrium;Synchytrium sp. DUH0009364
405;162287;GCRV01001010.66.1927;Entomophthoromycotina;Entomophthorales;Entomophthorales;insect metagenome;insect;insect metagenome
406;162584;DQ367450.1.1641;Kickxellomycotina;Harpellales;Harpellales;Orphella;Orphella;Orphella cf. hiemalis KS-83-W3
407;163559;DQ198786.1.1576;Basidiomycota;Pucciniomycetes;Platygloeales;;Platygloea;Platygloea pustulata
408;163564;DQ211052.1.1764;Mucoromycotina;Mucorales;Mucorales;Pilobolus;Pilobolus;Pilobolus sphaerosporus
409;163806;KR779279.1.1517;Mucoromycotina;Endogonales;Endogonales;Endogone;Mucoromycotina;Mucoromycotina sp. 9152.1-D
410;164256;DQ834916.1.1771;Basidiomycota;Agaricomycetes;Hymenochaetales;;Resinicium;Resinicium saccharicola
411;164564;GCRV01001009.66.1943;Entomophthoromycotina;Entomophthorales;Entomophthorales;Furia;insect;insect metagenome
412;165050;EF113984.1.1285;Ascomycota;Leotiomycetes;Leotiales;Satchmopsis brasiliensis;Satchmopsis;Satchmopsis brasiliensis
413;165480;EF443136.1.1632;Incertae Sedis;Lobulomycetales;Lobulomycetales;Lobulomyces;Lobulomyces;Lobulomyces sp. JEL178
414;165623;HQ191329.1.2305;Incertae Sedis;Rhizophydiales;Rhizophydiales;uncultured Chytridiomycota;uncultured;uncultured Chytridiomycota
415;165896;D61381.1.1775;Entomophthoromycotina;Entomophthorales;Entomophthorales;Zoophthora;Zoophthora;Zoophthora radicans
416;166123;HQ191340.1.2446;Incertae Sedis;Lobulomycetales;Lobulomycetales;uncultured Chytridiomycota;uncultured;uncultured Chytridiomycota
417;166257;DQ198787.1.1561;Basidiomycota;Pucciniomycetes;Septobasidiales;;Septobasidium;Septobasidium carestianum
418;166311;DQ234563.1.1788;Basidiomycota;Pucciniomycetes;Platygloeales;Platygloea;Platygloea;Platygloea disciformis
419;166368;HQ191383.1.2353;Incertae Sedis;Rhizophydiales;Rhizophydiales;uncultured Chytridiomycota;uncultured;uncultured Chytridiomycota
420;166663;DQ367452.1.1316;Kickxellomycotina;Harpellales;Harpellales;Harpella;Harpella;Harpella melusinae
421;166780;GQ995271.1.1776;Incertae Sedis;Spizellomycetales;Spizellomycetales;Geranomyces;uncultured;uncultured Chytridiomycota
422;166871;DQ322623.1.1792;Incertae Sedis;Incertae Sedis;Chytridiales;Synchytrium;Synchytrium;Synchytrium macrosporum
423;166872;DQ322629.1.1787;Glomeromycotina;Paraglomerales;Paraglomerales;Paraglomus;Paraglomus;Paraglomus occultum
424;167082;DQ367460.1.1800;Kickxellomycotina;Harpellales;Harpellales;Harpella;Harpella;Harpella meridianalis
425;167158;DQ536481.1.1783;Incertae Sedis;Neocallimastigales;Neocallimastigales;Cyllamyces;Cyllamyces;Cyllamyces aberensis
426;167272;DQ322622.1.1771;Incertae Sedis;Rhizophydiales;Rhizophydiales;Boothiomyces macroporosum;Boothiomyces;Boothiomyces macroporosum
427;167273;DQ322628.1.1759;Mucoromycotina;Endogonales;Endogonales;Endogone;Endogone;Endogone pisiformis
428;167372;GCRV01001012.66.1890;Entomophthoromycotina;Entomophthorales;Entomophthorales;Furia;insect;insect metagenome
429;167465;DQ367459.1.1813;Kickxellomycotina;Harpellales;Harpellales;Plecopteromyces;Plecopteromyces;Plecopteromyces sp. 39-2-1
430;167507;GENC01023621.369.2308;Entomophthoromycotina;Entomophthorales;Entomophthorales;Entomophthora;Entomophthora;Entomophthora muscae
431;167600;DQ520640.1.1778;Zoopagomycotina;Zoopagales;Zoopagales;Cochlonema euryblastum;Cochlonema;Cochlonema euryblastum
432;167812;DQ536471.1.1770;Mucoromycotina;Endogonales;Endogonales;Endogone;Jimgerdemannia;Jimgerdemannia lactiflua
433;167813;DQ536483.1.1651;Incertae Sedis;Chytridiales;Chytridiales;Rhizoclosmatium;Chytriomyces;Chytriomyces sp. JEL378
434;167961;DQ831026.1.1793;Basidiomycota;Agaricomycetes;Auriculariales;;Pseudohydnum;Pseudohydnum gelatinosum
435;168071;HQ191339.1.2342;Incertae Sedis;Gromochytriales;Gromochytriales;uncultured;uncultured;uncultured Chytridiomycota
436;168176;KT362375.1.1703;Incertae Sedis;Chytridiales;Chytridiales;Dendrochytridium;Chytridiaceae;Chytridiaceae sp. PML-2015
